id,text,difficulty,type
491,가족 역사 기록하기,보통,정서중심 활력형
492,지역 자연 보호 활동 참여하기,보통,정서중심 활력형
493,전통 음식 만들기,보통,정서중심 활력형
494,지역 공원 청소하기,보통,정서중심 활력형
495,지역 어린이 교육 지원하기,보통,정서중심 활력형
496,지역 동물 보호 활동 참여하기,보통,정서중심 활력형
497,지역 예술 전시회 준비하기,보통,정서중심 활력형
498,지역 음악회 준비하기,보통,정서중심 활력형
499,지역 박람회 참여하기,보통,정서중심 활력형
500,전통 공예 배우기,보통,정서중심 활력형
501,지역 축제 준비 봉사하기,보통,정서중심 활력형
502,지역 전통 축제 참여하기,보통,정서중심 활력형
503,지역 예술 작품 제작하기,보통,정서중심 활력형
504,지역 음악 밴드 참여하기,보통,정서중심 활력형
505,지역 청소년 활동 지원하기,보통,정서중심 활력형
506,지역 축제 홍보 활동 참여하기,보통,정서중심 활력형
507,지역 주민 대상 워크숍 개최하기,보통,정서중심 활력형
508,역사 연구 그룹 참여하기,보통,정서중심 활력형
509,지역 농산물 직거래 참여하기,보통,정서중심 활력형
510,지역 음식 축제 참여하기,보통,정서중심 활력형
511,걷기 대회 참가하기,어려움,정서중심 활력형
512,등산하기,어려움,정서중심 활력형
513,자전거 타기,어려움,정서중심 활력형
514,수영하기,어려움,정서중심 활력형
515,테니스 치기,어려움,정서중심 활력형
516,댄스 클래스 참여하기,어려움,정서중심 활력형
517,골프 치기,어려움,정서중심 활력형
518,조깅하기,어려움,정서중심 활력형
519,킥복싱 클래스 참여하기,어려움,정서중심 활력형
520,요가 매트에서의 동적 요가 하기,어려움,정서중심 활력형
521,실내 암벽 등반하기,어려움,정서중심 활력형
522,팀 스포츠 참여하기 (예: 배드민턴),어려움,정서중심 활력형
523,에어로빅 클래스 참여하기,어려움,정서중심 활력형
524,트램폴린 운동하기,어려움,정서중심 활력형
525,스케이트 타기,어려움,정서중심 활력형
526,하이킹 참여하기,어려움,정서중심 활력형
527,태권도 클래스 참여하기,어려움,정서중심 활력형
528,줄넘기 하기,어려움,정서중심 활력형
529,페인트볼 게임 참여하기,어려움,정서중심 활력형
530,프리스비 던지기,어려움,정서중심 활력형
531,카약 타기,어려움,정서중심 활력형
532,줄다리기 참여하기,어려움,정서중심 활력형
533,킥보드 타기,어려움,정서중심 활력형
534,댄스 파티 참석하기,어려움,정서중심 활력형
535,실내 자전거 타기,어려움,정서중심 활력형
536,줄넘기 클래스 참여하기,어려움,정서중심 활력형
537,보트 타기,어려움,정서중심 활력형
538,배드민턴 경기하기,어려움,정서중심 활력형
539,트레킹 참여하기,어려움,정서중심 활력형
540,스포츠 클라이밍 하기,어려움,정서중심 활력형
541,줄넘기 운동하기,어려움,정서중심 활력형
542,퍼포먼스 댄스 참여하기,어려움,정서중심 활력형
543,스포츠 댄스 배우기,어려움,정서중심 활력형
544,하이브리드 피트니스 클래스 참여하기,어려움,정서중심 활력형
545,스피닝 클래스 참여하기,어려움,정서중심 활력형
546,스포츠 체조 배우기,어려움,정서중심 활력형
547,퍼레이드 참여하기,어려움,정서중심 활력형
548,스포츠 게임 참여하기,어려움,정서중심 활력형
549,런닝 클럽 가입하기,어려움,정서중심 활력형
550,실내 스크린 골프 하기,어려움,정서중심 활력형
551,도자기 공예 배우기,보통,정서중심 활력형
552,지역 역사 탐방 투어 참여,보통,정서중심 활력형
553,재즈 댄스 클래스 참여,어려움,정서중심 활력형
554,비디오 편집 배우기,보통,정서중심 활력형
555,지역 스포츠 팀 응원하기,보통,정서중심 활력형
556,테라스 가꾸기,쉬움,정서중심 활력형
557,요리 레시피 개발하기,보통,정서중심 활력형
558,가족 나들이 계획하기,보통,정서중심 활력형
559,음악회 자원봉사하기,보통,정서중심 활력형
560,지역 도예 공방 방문하기,보통,정서중심 활력형
561,스마트 홈 기기 설정하기,보통,정서중심 활력형
562,주말 시장 방문하기,쉬움,정서중심 활력형
563,도시 자전거 투어 참여,어려움,정서중심 활력형
564,스포츠 경기 관람하기,보통,정서중심 활력형
565,사진 편집 소프트웨어 배우기,보통,정서중심 활력형
566,온라인 게임 클럽 참여,보통,정서중심 활력형
567,지역 연극 관람하기,보통,정서중심 활력형
568,미니 골프 치기,어려움,정서중심 활력형
569,수공예품 판매하기,보통,정서중심 활력형
570,지역 신문 기자 참여,보통,정서중심 활력형
571,비즈니스 카드 만들기,보통,정서중심 활력형
572,오래된 친구와 재회하기,쉬움,정서중심 활력형
573,아로마 테라피 배우기,보통,정서중심 활력형
574,차량 정비 기초 배우기,보통,정서중심 활력형
575,디지털 사진 앨범 만들기,보통,정서중심 활력형
576,지역 커뮤니티 센터 활동 참여,보통,정서중심 활력형
577,블루투스 스피커 사용하기,보통,정서중심 활력형
578,피아노 배우기,어려움,정서중심 활력형
579,수공예 목걸이 만들기,보통,정서중심 활력형
580,지역 도서 기부 활동 참여,보통,정서중심 활력형
581,버스 운전 체험하기,어려움,정서중심 활력형
582,다리 만들기 공모전 참여,어려움,정서중심 활력형
583,방송 청취 모임 참여,보통,정서중심 활력형
584,플로리스트 워크숍 참여,보통,정서중심 활력형
585,공동 정원 가꾸기,보통,정서중심 활력형
586,지역 동호회 리더 되기,보통,정서중심 활력형
587,어린이 그림 그리기 지도,보통,정서중심 활력형
588,전통 음악 배우기,어려움,정서중심 활력형
589,스마트폰 사진 찍기,보통,정서중심 활력형
590,지역 역사 기록 프로젝트 참여,보통,정서중심 활력형
591,아웃도어 영화 상영 참여,보통,정서중심 활력형
592,지역 축제 음식 판매,어려움,정서중심 활력형
593,가족 영화를 제작하기,어려움,정서중심 활력형
594,지역 미술 교실 운영하기,보통,정서중심 활력형
595,지역 청소 캠페인 참여,보통,정서중심 활력형
596,주말 농장 체험하기,어려움,정서중심 활력형
597,스포츠 이벤트 조직하기,어려움,정서중심 활력형
598,지역 방과 후 프로그램 지원,보통,정서중심 활력형
599,전통 의상 입어보기,보통,정서중심 활력형
600,지역 문화 유산 보호 활동 참여,보통,정서중심 활력형
601,간단한 스트레칭을 하며 요리하기,쉬움,생활기반 의무형
602,청소 도구를 이용한 손목 돌리기,쉬움,생활기반 의무형
603,식탁 닦기와 함께 어깨 스트레칭,쉬움,생활기반 의무형
604,물건 정리하며 무릎 굽히기,쉬움,생활기반 의무형
605,설거지 중 팔 돌리기,쉬움,생활기반 의무형
606,빨래 개기와 함께 다리 들어올리기,쉬움,생활기반 의무형
607,정리하면서 발목 돌리기,쉬움,생활기반 의무형
608,가벼운 청소하면서 호흡 운동,쉬움,생활기반 의무형
609,창문 닦기와 함께 가슴 펴기,쉬움,생활기반 의무형
610,책장 정리하며 팔 벌리기,쉬움,생활기반 의무형
611,바닥 닦기와 함께 가벼운 발 움직이기,쉬움,생활기반 의무형
612,빨래 개는 동안 발 스트레칭,쉬움,생활기반 의무형
613,식기 정리하며 손목 스트레칭,쉬움,생활기반 의무형
614,주방 정리와 함께 가벼운 팔 운동,쉬움,생활기반 의무형
615,옷 정리하면서 어깨 돌리기,쉬움,생활기반 의무형
616,간단한 정리 정돈과 함께 다리 스트레칭,쉬움,생활기반 의무형
617,창틀 닦기와 함께 손목 돌리기,쉬움,생활기반 의무형
618,가벼운 걸레질과 함께 호흡 운동,쉬움,생활기반 의무형
619,책 정리하며 목 스트레칭,쉬움,생활기반 의무형
620,가정용 청소기 밀기와 함께 팔 운동,쉬움,생활기반 의무형
621,주방 싱크대 청소하며 무릎 굽히기,쉬움,생활기반 의무형
622,빨래 건조대 정리하며 발 움직이기,쉬움,생활기반 의무형
623,식탁 정리와 함께 간단한 팔 돌리기,쉬움,생활기반 의무형
624,창문 닦기와 함께 심호흡,쉬움,생활기반 의무형
625,가벼운 먼지 털기와 함께 어깨 스트레칭,쉬움,생활기반 의무형
626,간단한 주방 청소와 함께 손목 운동,쉬움,생활기반 의무형
627,청소 도구 정리하며 발 스트레칭,쉬움,생활기반 의무형
628,가벼운 정리 작업과 함께 팔 벌리기,쉬움,생활기반 의무형
629,식기 정리와 함께 간단한 목 돌리기,쉬움,생활기반 의무형
630,빨래 개는 동안 다리 스트레칭,쉬움,생활기반 의무형
631,의자에 앉아 하는 간단한 팔 스트레칭,쉬움,생활기반 의무형
632,가벼운 청소하면서 깊은 호흡하기,쉬움,생활기반 의무형
633,식탁 닦기와 함께 손목 돌리기,쉬움,생활기반 의무형
634,빨래 개는 동안 어깨 스트레칭,쉬움,생활기반 의무형
635,주방 정리하며 간단한 발 움직이기,쉬움,생활기반 의무형
636,책장 정리와 함께 가벼운 팔 운동,쉬움,생활기반 의무형
637,창문 닦기와 함께 간단한 다리 스트레칭,쉬움,생활기반 의무형
638,가벼운 청소 도구 사용과 함께 팔 돌리기,쉬움,생활기반 의무형
639,설거지 중 가벼운 어깨 스트레칭,쉬움,생활기반 의무형
640,빨래 개기와 함께 손목 스트레칭,쉬움,생활기반 의무형
641,의자에서 하는 간단한 요가 동작,쉬움,생활기반 의무형
642,가벼운 발 움직임과 함께 정리 정돈,쉬움,생활기반 의무형
643,창문 닦기와 함께 팔 벌리기,쉬움,생활기반 의무형
644,책 정리하며 간단한 목 스트레칭,쉬움,생활기반 의무형
645,청소 도중 가벼운 다리 운동 하기,쉬움,생활기반 의무형
646,빨래 개기와 함께 손목 돌리기,쉬움,생활기반 의무형
647,설거지하며 간단한 호흡 운동,쉬움,생활기반 의무형
648,주방 정리와 함께 간단한 체조 동작,쉬움,생활기반 의무형
649,청소 도구를 이용한 손목 스트레칭,쉬움,생활기반 의무형
650,식탁 닦기와 함께 어깨 돌리기,쉬움,생활기반 의무형
651,바닥 청소하며 스쿼트,보통,생활기반 의무형
652,진공 청소기 사용하면서 팔 근력 강화,보통,생활기반 의무형
653,창문 닦기와 동시에 다리 스텝 운동,보통,생활기반 의무형
654,주방 청소하면서 가벼운 런지,보통,생활기반 의무형
655,설거지 후 팔 굽혀 펴기,보통,생활기반 의무형
656,빨래 개기와 함께 무릎 굽히기,보통,생활기반 의무형
657,정리하면서 가벼운 허리 돌리기,보통,생활기반 의무형
658,가벼운 걸레질과 함께 유산소 운동,보통,생활기반 의무형
659,주방 정리하면서 어깨 펴기,보통,생활기반 의무형
660,청소 도구 사용하며 가벼운 팔 스트레칭,보통,생활기반 의무형
661,바닥 닦기와 함께 발끝 터치,보통,생활기반 의무형
662,청소하면서 가벼운 복근 운동,보통,생활기반 의무형
663,설거지 중 간단한 팔 돌리기,보통,생활기반 의무형
664,빨래 개기와 함께 다리 들어올리기,보통,생활기반 의무형
665,주방 정리하며 가벼운 팔 굽혀 펴기,보통,생활기반 의무형
666,책장 정리하면서 상체 돌리기,보통,생활기반 의무형
667,창문 닦기와 함께 심호흡,보통,생활기반 의무형
668,청소 도구를 사용한 손목 강화 운동,보통,생활기반 의무형
669,빨래 개는 동안 가벼운 스트레칭,보통,생활기반 의무형
670,설거지하며 가벼운 다리 운동,보통,생활기반 의무형
671,주방 청소와 함께 가벼운 요가,보통,생활기반 의무형
672,청소 도구 정리하면서 팔 돌리기,보통,생활기반 의무형
673,책장 정리와 함께 가벼운 코어 운동,보통,생활기반 의무형
674,창문 닦기와 함께 어깨 스트레칭,보통,생활기반 의무형
675,청소 도중 가벼운 전신 스트레칭,보통,생활기반 의무형
676,빨래 개기와 함께 다리 스텝,보통,생활기반 의무형
677,설거지 후 팔 스트레칭,보통,생활기반 의무형
678,주방 정리하며 간단한 팔 굽혀 펴기,보통,생활기반 의무형
679,청소 도구 사용과 함께 가벼운 유산소 운동,보통,생활기반 의무형
680,책장 정리하면서 상체 돌리기,보통,생활기반 의무형
681,창문 닦기와 함께 가벼운 요가,보통,생활기반 의무형
682,청소 도구 사용하며 가벼운 허리 스트레칭,보통,생활기반 의무형
683,빨래 개는 동안 가벼운 발 움직이기,보통,생활기반 의무형
684,설거지 중 간단한 다리 스트레칭,보통,생활기반 의무형
685,주방 청소하면서 가벼운 팔 운동,보통,생활기반 의무형
686,청소 도구 정리하며 심호흡,보통,생활기반 의무형
687,책장 정리와 함께 간단한 유산소 운동,보통,생활기반 의무형
688,창문 닦기와 함께 팔 굽혀 펴기,보통,생활기반 의무형
689,청소 도중 간단한 복근 강화,보통,생활기반 의무형
690,빨래 개기와 함께 가벼운 허리 돌리기,보통,생활기반 의무형
691,설거지하며 간단한 팔 돌리기,보통,생활기반 의무형
692,주방 정리와 함께 간단한 코어 운동,보통,생활기반 의무형
693,청소 도구 사용하면서 가벼운 요가,보통,생활기반 의무형
694,책장 정리하며 간단한 스트레칭,보통,생활기반 의무형
695,창문 닦기와 함께 가벼운 팔 운동,보통,생활기반 의무형
696,청소 도중 간단한 다리 강화 운동,보통,생활기반 의무형
697,빨래 개기와 함께 상체 돌리기,보통,생활기반 의무형
698,설거지 후 간단한 호흡 운동,보통,생활기반 의무형
699,주방 청소와 함께 가벼운 팔 스트레칭,보통,생활기반 의무형
700,청소 도구 정리하며 가벼운 유산소 운동,보통,생활기반 의무형
701,가정용 청소기 밀기와 함께 하체 운동,어려움,생활기반 의무형
702,정원 가꾸기와 함께 전신 운동,어려움,생활기반 의무형
703,가구 재배치하면서 무거운 물건 들기,어려움,생활기반 의무형
704,대청소 중 스피드 스텝,어려움,생활기반 의무형
705,무거운 물건 옮기며 근력 강화,어려움,생활기반 의무형
706,청소기 밀기와 함께 스쿼트,어려움,생활기반 의무형
707,정리하면서 가벼운 덤벨 운동,어려움,생활기반 의무형
708,주방 청소와 함께 런지,어려움,생활기반 의무형
709,창문 닦기와 함께 코어 강화 운동,어려움,생활기반 의무형
710,가정용 청소 도구 사용하며 근력 운동,어려움,생활기반 의무형
711,정원 가꾸기와 함께 다리 근력 강화,어려움,생활기반 의무형
712,가구 재배치하며 팔 근력 강화,어려움,생활기반 의무형
713,대청소 중 빠른 속도로 움직이기,어려움,생활기반 의무형
714,무거운 물건 옮기며 전신 운동,어려움,생활기반 의무형
715,청소기 밀기와 함께 하체 강화 운동,어려움,생활기반 의무형
716,정리하면서 가벼운 덤벨 들기,어려움,생활기반 의무형
717,주방 청소와 함께 스쿼트,어려움,생활기반 의무형
718,창문 닦기와 함께 복근 강화 운동,어려움,생활기반 의무형
719,가정용 청소 도구 사용하며 팔 힘 강화,어려움,생활기반 의무형
720,정원 가꾸기와 함께 유산소 운동,어려움,생활기반 의무형
721,가구 재배치하며 상체 강화 운동,어려움,생활기반 의무형
722,대청소 중 빠른 속도로 청소하기,어려움,생활기반 의무형
723,무거운 물건 옮기며 상체 운동,어려움,생활기반 의무형
724,청소기 밀기와 함께 다리 근력 강화,어려움,생활기반 의무형
725,정리하면서 가벼운 팔 덤벨 운동,어려움,생활기반 의무형
726,주방 청소와 함께 가벼운 런지,어려움,생활기반 의무형
727,창문 닦기와 함께 하체 강화 운동,어려움,생활기반 의무형
728,가정용 청소 도구 사용하며 전신 운동,어려움,생활기반 의무형
729,정원 가꾸기와 함께 팔 근력 강화,어려움,생활기반 의무형
730,가구 재배치하며 다리 강화 운동,어려움,생활기반 의무형
731,대청소 중 스피드 스텝과 스쿼트,어려움,생활기반 의무형
732,무거운 물건 옮기며 코어 강화,어려움,생활기반 의무형
733,청소기 밀기와 함께 상체 강화 운동,어려움,생활기반 의무형
734,정리하면서 가벼운 덤벨 들기,어려움,생활기반 의무형
735,주방 청소와 함께 하체 강화 운동,어려움,생활기반 의무형
736,창문 닦기와 함께 팔 근력 강화,어려움,생활기반 의무형
737,가정용 청소 도구 사용하며 하체 운동,어려움,생활기반 의무형
738,정원 가꾸기와 함께 전신 운동,어려움,생활기반 의무형
739,가구 재배치하며 근력 강화 운동,어려움,생활기반 의무형
740,대청소 중 빠른 속도로 움직이며 스쿼트,어려움,생활기반 의무형
741,무거운 물건 옮기며 전신 근력 강화,어려움,생활기반 의무형
742,청소기 밀기와 함께 코어 강화 운동,어려움,생활기반 의무형
743,정리하면서 덤벨 들기와 스쿼트,어려움,생활기반 의무형
744,주방 청소와 함께 상체 강화 운동,어려움,생활기반 의무형
745,창문 닦기와 함께 근력 강화 운동,어려움,생활기반 의무형
746,가정용 청소 도구 사용하며 팔 운동,어려움,생활기반 의무형
747,정원 가꾸기와 함께 하체 강화 운동,어려움,생활기반 의무형
748,가구 재배치하며 전신 운동,어려움,생활기반 의무형
749,대청소 중 스피드 스텝과 하체 운동,어려움,생활기반 의무형
750,무거운 물건 옮기며 상체 근력 강화,어려움,생활기반 의무형
751,간단한 스트레칭을 하며 요리하기,쉬움,생활기반 의무형
752,청소 도구를 이용한 손목 돌리기,쉬움,생활기반 의무형
753,식탁 닦기와 함께 어깨 스트레칭,쉬움,생활기반 의무형
754,물건 정리하며 무릎 굽히기,쉬움,생활기반 의무형
755,설거지 중 팔 돌리기,쉬움,생활기반 의무형
756,빨래 개기와 함께 다리 들어올리기,쉬움,생활기반 의무형
757,정리하면서 발목 돌리기,쉬움,생활기반 의무형
758,가벼운 청소하면서 호흡 운동,쉬움,생활기반 의무형
759,창문 닦기와 함께 가슴 펴기,쉬움,생활기반 의무형
760,책장 정리하며 팔 벌리기,쉬움,생활기반 의무형
761,바닥 닦기와 함께 가벼운 발 움직이기,쉬움,생활기반 의무형
762,빨래 개는 동안 발 스트레칭,쉬움,생활기반 의무형
763,식기 정리하며 손목 스트레칭,쉬움,생활기반 의무형
764,주방 정리와 함께 가벼운 팔 운동,쉬움,생활기반 의무형
765,옷 정리하면서 어깨 돌리기,쉬움,생활기반 의무형
766,간단한 정리 정돈과 함께 다리 스트레칭,쉬움,생활기반 의무형
767,창틀 닦기와 함께 손목 돌리기,쉬움,생활기반 의무형
768,가벼운 걸레질과 함께 호흡 운동,쉬움,생활기반 의무형
769,책 정리하며 목 스트레칭,쉬움,생활기반 의무형
770,가정용 청소기 밀기와 함께 팔 운동,쉬움,생활기반 의무형
771,주방 싱크대 청소하며 무릎 굽히기,쉬움,생활기반 의무형
772,빨래 건조대 정리하며 발 움직이기,쉬움,생활기반 의무형
773,식탁 정리와 함께 간단한 팔 돌리기,쉬움,생활기반 의무형
774,창문 닦기와 함께 심호흡,쉬움,생활기반 의무형
775,가벼운 먼지 털기와 함께 어깨 스트레칭,쉬움,생활기반 의무형
776,간단한 주방 청소와 함께 손목 운동,쉬움,생활기반 의무형
777,청소 도구 정리하며 발 스트레칭,쉬움,생활기반 의무형
778,가벼운 정리 작업과 함께 팔 벌리기,쉬움,생활기반 의무형
779,식기 정리와 함께 간단한 목 돌리기,쉬움,생활기반 의무형
780,빨래 개는 동안 다리 스트레칭,쉬움,생활기반 의무형
781,의자에 앉아 하는 간단한 팔 스트레칭,쉬움,생활기반 의무형
782,가벼운 청소하면서 깊은 호흡하기,쉬움,생활기반 의무형
783,식탁 닦기와 함께 어깨 돌리기,쉬움,생활기반 의무형
784,빨래 개기와 함께 손목 스트레칭,쉬움,생활기반 의무형
785,의자에서 하는 간단한 요가 동작,쉬움,생활기반 의무형
786,가벼운 발 움직임과 함께 정리 정돈,쉬움,생활기반 의무형
787,창문 닦기와 함께 팔 벌리기,쉬움,생활기반 의무형
788,책 정리하며 간단한 목 스트레칭,쉬움,생활기반 의무형
789,청소 도중 가벼운 다리 운동 하기,쉬움,생활기반 의무형
790,빨래 개기와 함께 손목 돌리기,쉬움,생활기반 의무형
791,설거지하며 간단한 호흡 운동,쉬움,생활기반 의무형
792,주방 정리와 함께 간단한 체조 동작,쉬움,생활기반 의무형
793,청소 도구를 이용한 손목 스트레칭,쉬움,생활기반 의무형
794,식탁 닦기와 함께 어깨 돌리기,쉬움,생활기반 의무형
795,바닥 청소하며 스쿼트,보통,생활기반 의무형
796,진공 청소기 사용하면서 팔 근력 강화,보통,생활기반 의무형
797,창문 닦기와 동시에 다리 스텝 운동,보통,생활기반 의무형
798,주방 청소하면서 가벼운 런지,보통,생활기반 의무형
799,설거지 후 팔 굽혀 펴기,보통,생활기반 의무형
800,빨래 개기와 함께 무릎 굽히기,보통,생활기반 의무형
