연번,시도,기관명,주소,전화번호,운영주체,법인유형
236,부산,당감종합사회복지관,부산광역시 부산진구 당감서로16,051-896-2320,로사리오카리타스,사회복지법인
237,부산,덕천종합사회복지관,부산광역시 북구 덕천로 74,051-331-4674,삼동회,사회복지법인
238,부산,동구종합사회복지관,부산광역시 동구 안창로 57,051-633-3367,재단법인 한결재단,재단법인
239,부산,동래종합사회복지관,부산광역시 동래구 시실로107번길 151,051-531-2460,양덕사회문화원,사회복지법인
240,부산,동삼종합사회복지관,부산광역시 영도구 상리로 30,051-405-2133,불국토,사회복지법인
241,부산,동원종합사회복지관,부산광역시 북구 금곡대로 616번길 10-9,051-361-0045,부산와이엠씨에이,재단법인
242,부산,두송종합사회복지관,부산광역시 사하구 다송로59,051-265-9471,늘기쁜마을,사회복지법인
243,부산,만덕종합사회복지관,부산광역시 북구 함박봉로 140번길 102,051-332-8004,로뎀복지재단,사회복지법인
244,부산,모라종합사회복지관,부산광역시 사상구 모라로110번길 129,051-304-9876,청십자사회복지회,사회복지법인
245,부산,몰운대종합사회복지관,부산광역시 사하구 다대낙조2길 17 몰운대종합사회복지관,051-264-9033,내원,사회복지법인
246,부산,반석종합사회복지관,부산광역시 해운대구 신반송로 159,051-542-0196,의안복지재단,사회복지법인
247,부산,반송종합사회복지관,부산광역시 해운대구 아랫반송로1번길15,051-544-8006,부산YMCA,재단법인
248,부산,반여종합사회복지관,부산광역시 해운대구 재반로226번길 13-73,051-784-0554,한결재단,재단법인
249,부산,백양종합사회복지관,부산광역시 사상구 모라로192번길 20-33,051-305-4286,천혜복지재단,사회복지법인
250,부산,부산광역시사직종합사회복지관,부산광역시 동래구 사직북로63번길 20-7,0051-506-5757,박영학원,학교법인
251,부산,부산기독교종합사회복지관,부산광역시 서구 까치고개로 229번길 40,051-257-9404,태화복지재단,사회복지법인(직영)
252,부산,부산종합사회복지관(로사),부산광역시 수영구 금련로 43번길 54,051-755-3367,로사사회봉사회,사회복지법인(직영)
253,부산,부산종합사회복지관(어린이재단),부산광역시 동구 수정공원로 15,051-465-0990,어린이재단,사회복지법인
254,부산,부산진구종합사회복지관,부산광역시 부산진구 복지로 117-12,051-893-0035,부산YWCA,사단법인
255,부산,사상구종합사회복지관,부산광역시 사상구 백양대로 527(주례동),051-314-8948,대한성공회유지재단,재단법인
256,부산,사하구종합사회복지관,부산광역시 사하구 감내2로 21,051-293-2688,로사리오 카리타스,사회복지법인
257,부산,상리종합사회복지관,부산광역시 영도구 상리로63-16(동삼동),051-404-5061,한국재활재단,사회복지법인
258,부산,연제구거제종합사회복지관,부산광역시 연제구 아시아드대로46번길 45,051-507-8171,화신학원,학교법인
259,부산,연제구연산종합사회복지관,부산광역시 연제구 봉수로 17,051-863-8360,혜원,사회복지법인
260,부산,영도구종합사회복지관,부산광역시 영도구 산정길 138,051-413-4661,대한예수교장로회총회고려학원,학교법인
261,부산,영진종합사회복지관,부산광역시 해운대구 반여로 165,051-529-0005,영진복지재단,사회복지법인(직영)
262,부산,와치종합사회복지관,부산광역시 영도구 함지로 79번길 76,051-403-4200,남광사회복지회,사회복지법인
263,부산,용호종합사회복지관,부산광역시 남구 이기대공원로 7(용호동),051-628-6737,문수복지재단,사회복지법인
264,부산,운봉종합사회복지관,부산광역시 해운대구 신반송로 200,051-543-2431,홀트아동복지회,사회복지법인
265,부산,장선종합사회복지관,부산광역시 북구 시랑로 114번길 45(구포동),051-336-7007,장선종합복지공동체,사회복지법인
266,부산,전포종합사회복지관,부산광역시 부산진구 전포대로 190번길 35,051-802-6383,청십자사회복지회,사회복지법인
267,부산,절영종합사회복지관,부산광역시 영도구 함지로 33-10 (동삼동),051-404-5530,남광사회복지회,사회복지법인
268,부산,파랑새종합사회복지관,부산광역시 해운대구 신반송로 21,051-545-0115,성실원,사회복지법인(직영)
269,부산,학장종합사회복지관,부산광역시 사상구 학감댈로49번길 28-70,051-311-4017,부산생명의전화,사회복지법인
270,부산,해운대종합사회복지관,부산광역시 해운대구 재반로 12번길16,051-782-5005,인천(仁泉)사회사업재단,사회복지법인(직영)
271,부산,홀트수영종합사회복지관,부산광역시 수영구 장대골로 20-5,051-760-3600,홀트아동복지회,사회복지법인(직영)
272,부산,화명종합사회복지관,부산광역시 북구 금곡대로 199번길 21,051-338-2233,금정총림 범어,사회복지법인
273,부산,화정종합사회복지관,부산광역시 북구 효열로 76,051-362-0111,인천(仁泉)사회사업재단,사회복지법인
274,서울,(서울)북부종합사회복지관,서울시 노원구 동일로245길56 (상계동),02-934-7711,한국봉사회,사회복지법인(직영)
275,서울,(서울)성산종합사회복지관,서울시 마포구 월드컵로 215,02-374-5889,이화학당,학교법인
276,서울,가락종합사회복지관,서울시 송파구 양재대로 897(가락1동),02-449-2341,사회적협동조합 공감과연대,협동조합
277,서울,가양4종합사회복지관,서울시 강서구 양천로57길 37,02-2668-6689,귀뚜라미복지재단,재단법인
278,서울,가양5종합사회복지관,"서울시 강서구 양천로 57길 36, 가양5종합사회복지관",02-2668-4603,한기장복지재단,사회복지법인
279,서울,가양7종합사회복지관,"서울시 강서구 허준로 209, 가양7종합사회복지관 2층 사무실",02-2668-8600,글로벌비전,사단법인
280,서울,갈월종합사회복지관,서울시 용산구 두텁바위로 25,02-752-7887,한국장로교복지재단,사회복지법인
281,서울,강감찬관악종합사회복지관,"서울시 관악구 양녕로 74, 2층 101호",02-886-9941,함께복지사회적협동조합,협동조합
282,서울,강남종합사회복지관,서울시 강남구 개포로 109길5,02-451-0051,강남학원,학교법인
283,서울,강동종합사회복지관,"서울시 강동구 양재대로1458, 3층(길동 411-4)",02-2041-7800,기아대책,사회복지법인
284,서울,공릉종합사회복지관,서울시 노원구 동일로 1127,02-9480-5820,복지세상사회적협동조합,협동조합
285,서울,광장종합사회복지관,광진구 아차산로 66길8,02-2201-1333,사랑의 집,사회복지법인
286,서울,구로종합사회복지관,서울시 구로구 디지털로31길 93,02-852-0525,티뷰크사회복지재단,사회복지법인
287,서울,구세군강북종합사회복지관,서울시 강북구 인수봉로20가길 24,02-984-5811,재대한구세군유지재단,재단법인(직영)
288,서울,궁동종합사회복지관,서울시 구로구 오리로 22길 5,02-2613-9367,티뷰크사회복지재단,사회복지법인
289,서울,금천누리종합사회복지관,서울시 가산로 129 (3층),02-868-6856,티뷰크사회복지재단,사회복지법인
290,서울,길음종합사회복지관,서울 성북구 삼양로2길 55,02-985-0161,인덕원삼천사복지재단,사회복지법인
291,서울,까리따스방배종합사회복지관,서울시 서초구 남부순환로 2124,02-522-6004,천주교까리따스수녀회유지재단,재단법인(직영)
292,서울,꿈의숲종합사회복지관,"서울시 강북구 오현로 208, 주공아파트 302동 1층 번동3단지종합사회복지",02-984-6777,기독교대한성결교회사회사업유지재단,사회복지법인
293,서울,노원1종합사회복지관,서울시 노원구 월계로 372 사슴아파트1단지내,02-949-0700,청운보은동산,사회복지법인
294,서울,녹번종합사회복지관,서울시 은평구 은평로21길 14-26,02-388-6341,기독교대한감리회 사회복지재단,사회복지법인
295,서울,능인종합사회복지관,서울시 강남구 양재대로 340,02-571-2989,능인선원,사회복지법인(직영)
296,서울,대방종합사회복지관,서울시 동작구 여의대방로44길 47,02-826-2900,기아대책,사회복지법인
297,서울,대청종합사회복지관,"서울시 양재대로 55길, 10",02-459-6332,밀알복지재단,사회복지법인
298,서울,도봉서원종합사회복지관,서울시 도봉구 마들로 668,02-3494-4755,유어프렌즈,사단법인
299,서울,동대문종합사회복지관,서울시 동대문구 약령시로 5길 22,02-920-4500,삼육재단,사회복지법인
300,서울,동작이수사회복지관,서울시 동작구 동작대로35차길 7,02-592-3721,한주재단,사회복지법인
301,서울,동작종합사회복지관,서울시 동작구 등용로 47,02-814-8116,서울가톨릭사회복지회,사회복지법인
302,서울,등촌1종합사회복지관,서울 강서구 강서로 68길 36,02-2658-1010,유린보은동산,사회복지법인
303,서울,등촌4종합사회복지관,"서울시 강서구 공항대로39길 59, 등촌4종합사회복지관",02-2658-8800,유니월드,사회복지법인
304,서울,등촌7종합사회복지관,서울시 강서구 공항대로 43길 104(등촌동),02-2658-6521,서울가톨릭사회복지회,사회복지법인
305,서울,등촌9종합사회복지관,서울시 강서구 화곡로 63가길 92,02-2658-4127,우리모두복지재단,사회복지법인
306,서울,마들종합사회복지관,서울시 노원구 동일로210길 22,02-971-8387,성민,사회복지법인
307,서울,마천종합사회복지관,서울시 송파구 마천로65길 4,02-449-3141,섬김과나눔,사단법인
308,서울,면목종합사회복지관,서울시 중랑구 용마산로 228,02-436-0500,자광재단,사회복지법인
309,서울,목동종합사회복지관,서울시 양천구 목동중앙북로8길 104,02-2651-2332,좋은사람들,사단법인
310,서울,반포종합사회복지관,서울시 서초구 신반포로 33길 22 반포종합사회복지관,02-3477-9811,사랑의복지재단,사회복지법인
311,서울,방아골종합사회복지관,서울시 도봉구 시루봉로17길 42,02-3491-0500,일촌공동체,사단법인
312,서울,방화11종합사회복지관,서울시 강서구 개화동로 21길 4,02-2661-0670,서울YMCA(서울기독교청년유지재단),재단법인
313,서울,방화2종합사회복지관,서울시 강서구 방화대로 48길 40,02-2662-6662,굿네이버스,사회복지법인
314,서울,방화6종합사회복지관,"서울시 강서구 금낭화로 23길 25, 방화6종합사회복지관",02-2666-6181,귀뚜라미복지재단,재단법인
315,서울,번오마을종합사회복지관,서울시 강북구 한천로115길 20,02-981-5077,혜명복지원,사회복지법인
316,서울,북서울종합사회복지관,"서울시 강북구 한천로 105길 24, 202동",02-987-5077,삼동회,사회복지법인
317,서울,사당종합사회복지관,서울시 동작구 사당로14길 20,02-597-3710,한국다문화청소년협회,사단법인
318,서울,사랑의전화마포종합사회복지관,서울시 마포구 만리재로29,02-712-8600,사랑의전화복지재단,사회복지법인(직영)
319,서울,삼전종합사회복지관,서울시 송파구 백제고분로32길 35,02-421-6077,승가원,사회복지법인
320,서울,상계종합사회복지관,서울시 노원구 덕릉로 115나길 25,02-951-9930,서울가톨릭사회복지회,사회복지법인
321,서울,상도종합사회복지관,서울시 동작구 상도로39가길 7(상도1동 456),02-824-6011,기독교대한성결교회사회사업유지재단,사회복지법인(직영)
322,서울,생명의전화종합사회복지관,서울시 성북구 오패산로21,02-916-9193,한국생명의전화,사회복지법인(직영)
323,서울,서대문종합사회복지관,서울시 서대문구 모래내로 177,02-375-5040,동방사회복지회,사회복지법인
324,서울,서울YWCA봉천종합사회복지관,서울시 관악구 관악로 254,02-870-4400,YWCA복지사업단,사회복지법인(직영)
325,서울,서울시립대학교종합사회복지관,서울시 중랑구 신내로 115,02-3421-1988,서울시립대학교,학교법인
326,서울,성내종합사회복지관,서울시 강동구 성안로13길 56,02-478-2555,경복대학교산학협력단,학교법인
327,서울,성동종합사회복지관,서울시 성동구 청계천로 506 성동종합사회복지관 4층 통합사무실,02-2290-3150,성모성심수도회,재단법인
328,서울,성민종합사회복지관,서울시 관악구 호암로 549,02-876-0900,경향복지재단,사회복지법인(직영)
329,서울,성수종합사회복지관,"서울시 성동구 뚝섬로1길 43, 5~6층",02-2204-9900,한양학원,학교법인
330,서울,송파종합사회복지관,서울시 송파구 오금로51길34,02-401-1919,월드비전,사회복지법인(직영)
331,서울,수서명화종합사회복지관,서울시 강남구 광평로 51길 49,02-459-2696,휴먼복지회,사회복지법인
332,서울,수서종합사회복지관,서울시 강남구 광평로56길11,02-459-5504,닮복지재단,사회복지법인
333,서울,신길종합사회복지관,서울시 영등포구 영등포로84길 24-5,02-831-2755,대한불교조계종봉은,사회복지법인
334,서울,신내종합사회복지관,"서울시 중랑구 봉화산로 153, 신내12단지아파트 신내종합사회복지관",02-3421-3400,애원복지재단,사회복지법인
335,서울,신당종합사회복지관,서울시 중구 동호로 11길 22,02-2231-1876,서울가톨릭사회복지회,사회복지법인
336,서울,신림종합사회복지관,서울시 관악구 난곡로 110,02-851-1767,일송학원,학교법인
337,서울,서울시립신목종합사회복지관,서울시 양천구 신목로5,02-2643-7222,복지동행사회적협동조합,협동조합
338,서울,신사종합사회복지관,서울시 은평구 은평로 38,02-376-4141,대한불교조계종사회복지재단,사회복지법인
339,서울,신월종합사회복지관,서울시 양천구 신월로24길 19,02-2605-8728,한주재단,사회복지법인
340,서울,신정종합사회복지관,서울시 양천구 신정중앙로 36,02-2603-1792,기아대책,사회복지법인
341,서울,양재종합사회복지관,서울시 서초구 남부순환로 2610 양재종합사회복지관,02-579-4782,대한불교조계종 봉은,사회복지법인
342,서울,염리종합사회복지관,서울시 마포구 대흥로 24길 50,02-3276-1800,대한사회복지회,사회복지법인
343,서울,영등포종합사회복지관,서울시 영등포구 신길로13길 4,02-845-5331,초록우산어린이재단,사회복지법인
344,서울,옥수종합사회복지관,서울시 성동구 한림말길 16-5,02-2282-1100,대한불교조계종사회복지재단,사회복지법인
345,서울,우면종합사회복지관,서울시 서초구 바우뫼로 7길11 우면종합사회복지,02-577-6321,대한불교천태종복지재단,사회복지법인
346,서울,월계종합사회복지관,서울시 초안산로 1길 51,02-999-4211,한국복음주의학원,학교법인
347,서울,월곡종합사회복지관,서울시 성북구 오패산로16길 23,02-911-5511,혜명복지원,사회복지법인
348,서울,유락종합사회복지관,서울시 중구 퇴계로 460,02-2235-4000,서울가톨릭사회복지회,사회복지법인
349,서울,유린원광종합사회복지관,서울시 중랑구 신내로 56,02-438-4011,유린보은동산,사회복지법인(직영)
350,서울,은평종합사회복지관,서울시 은평구 은평터널로48,02-307-1181,감리회태화복지재단,사회복지법인
351,서울,이화여자대학교종합사회복지관,서울시 서대문구 이화여대길 52,02-3277-3190,이화학당,학교법인
352,서울,자양종합사회복지관,서울시 광진구 자양번영로 35,02-458-1664,대한불교조계종사회복지재단,사회복지법인(직영)
353,서울,잠실종합사회복지관,서울시 올림픽로12길 12,02-423-7806,천주교까리따스수녀회유지재,재단법인
354,서울,장안종합사회복지관,서울시 동대문구 한천로 18길 48,02-2242-7564,닮복지재단,사회복지법인
355,서울,장위종합사회복지관,"본관: 서울시 성북구 화랑로237, 2층",02-918-3073,일촌공동체,사단법인
356,서울,정릉종합사회복지관,서울시 성북구 솔샘로5길 92,02-909-0434,SW복지재단,사회복지법인
357,서울,종로종합사회복지관,서울 종로구 지봉로13길 82,02-766-8282,새문안교회사회복지재단,사회복지법인
358,서울,중계종합사회복지관,서울시 노원구 덕릉로 662,02-952-0333,한국봉사회,사회복지법인
359,서울,중곡종합사회복지관,서울시 광진구 용마산로3길 62,02-3436-4316,서울가톨릭사회복지회,사회복지법인
360,서울,중림종합사회복지관,서울시 서소문로6길 16,02-362-3348,대한불교조계종사회복지재단,사회복지법인
361,서울,중앙사회복지관,서울시 관악구 봉천로 41길 33,02-872-5802,복지동행사회적협동조,협동조합
362,서울,창동종합사회복지관,서울시 도봉구 덕릉로329,02-993-3222,여의도순복음,재단법인
363,서울,청담종합사회복지관,서울시 금천구 금하로29길 36,02-806-1377,혜명,사회복지법인
364,서울,태화기독교사회복지관,서울시 강남구 광평로185,02-2040-1600,태화복지재단,사회복지법인(직영)
365,서울,평화종합사회복지관,서울시 노원구 노원로 331,02-949-0123,함께하는복지,사단법인
366,서울,풍납종합사회복지관,서울시 송파구 강동대로3길 5,02-474-1201,복지동행사회적협동조합,협동조합
367,서울,하계종합사회복지관,서울시 노원구 노원로16길15,02-6928-0108,대한불교조계종사회복지재단,사회복지법인
368,서울,한빛종합사회복지관,서울시 양천구 신월로11길 16,02-2690-8762,서울가톨릭사회복지회,사회복지법인
369,서울,홍은종합사회복지관,서울시 서대문구 세검정로1길 116,02-395-3959,대한예수교장로회총회(합동측)복지재단,사회복지법인
370,서울,화원종합사회복지관,서울시 구로구 벚꽃로484,02-837-0761,한국장로교복지재단,사회복지법인
371,서울,효창종합사회복지관,서울시 용산구 효창원로 146-12(효창동),02-716-0600,기독교한국침례회유지재단,재단법인
372,서울,흑석종합사회복지관,서울시 동작구 흑석로13길 21,02-817-8052,대한불교조계종사회복지재단,사회복지법인
373,울산,(울산)중구종합사회복지관,울산광역시 중구 종가 3길 15,052-296-3161,물푸레복지재단,사회복지법인
374,울산,북구종합사회복지관,울산광역시 북구 동대8길 40,052-296-3900,어울림복지재단,사회복지법인
375,울산,울산남구종합사회복지관,울산광역시 남구 번영로 107번길 13(달동),052-260-2981,통도사자비원,사회복지법인
376,울산,울산동구종합사회복지관,울산광역시 동구 봉수로 155,052-236-1465,친한친구들,사단법인
377,울산,울산화정종합사회복지관,울산광역시 동구 월봉10길 14,052-236-3139,진각복지재단,사회복지법인
378,울산,울주군남부종합사회복지관,"울산광역시 울주군 온산읍 덕신1길 4, 2층~4층",052-229-9300,울주군시설관리공단,지자체(직영)
379,울산,울주군서부종합사회복지관,울산광역시 울주군 언양읍 읍성로169,052-229-9160,울주군시설관리공단,지자체(직영)
380,울산,울주군중부종합사회복지관,울산광역시 울주군 범서읍 천상4길 28-14,052-229-9350,울주군시설관리공단,지자체(직영)
381,인천,(인천)성산종합사회복지관,인천광역시 남동구 석정로552,032-437-2500,성산하모니복지재단,사회복지법인(직영)
382,인천,갈산종합사회복지관,인천광역시 부평구 주부토로 206,032-515-8187,인천가톨릭사회복지회,사회복지법인
383,인천,계양종합사회복지관,인천광역시 계양구 아나지로 517,032-552-9090,명성복지회,사회복지법인
384,인천,구월종합사회복지관,인천광역시 남동구 선수촌로7 702동 1층,032-463-9900,남동구청,지자체(직영)
385,인천,논현종합사회복지관,인천광역시 남동구 호구포로 292,032-446-9339,남동구청,지자체(직영)
386,인천,만수종합사회복지관,인천광역시 남동구 담방로105,032-463-8161,남동구청,지자체(직영)
387,인천,만월종합사회복지관,인천광역시 남동구 서판로 54번길 12,032-471-9070,남동구청,지자체(직영)
388,인천,미추홀종합사회복지관,인천광역시 미추홀구 염창로 97,032-876-8181,온세상나눔재단,사단법인
389,인천,백령종합사회복지관,인천광역시 옹진군 백령면 백령로 271번길 20,032-836-6001,웅진복지재단,재단법인(직영)
390,인천,부평중부종합사회복지관,인천광역시 부평구 경원대로 1418번길13,032-528-4020,기독교대한감리회 사회복지재단,사회복지법인(직영)
391,인천,삼산종합사회복지관,"인천광역시 부평구 평천로447, 107동 1,2층 삼산복지관",032-529-8607,인천YWCA,사단법인
392,인천,선학종합사회복지관,인천광역시 연수구 선학로 14,032-813-6453,대한예수교장로회총회(복지재단),사회복지법인
393,인천,성미가엘종합사회복지관,인천광역시 중구 송학로 40,032-766-0981,대한성공회유지재단,재단법인(직영)
394,인천,세화종합사회복지관,인천광역시 연수구 원인재로 315,032-813-2790,기독교대한감리회사회복지재단,사회복지법인
395,인천,송림종합사회복지관,인천광역시 동구 송림로 43번길 35,032-764-1185,사랑의샘,사회복지법인(직영)
396,인천,숭의종합사회복지관,인천광역시 미추홀구 독배로 485,032-888-6222,기독교대한감리회 사회복지재단,사회복지법인(직영)
397,인천,연수종합사회복지관,인천광역시 연수구 원인재로 212,032-811-8012,온세상나눔재단,사단법인
398,인천,인천기독교종합사회복지관,인천광역시 서구 심곡로 124번길 10,032-568-3270,감리회 태화복지재단,사회복지법인(직영)
399,인천,인천종합사회복지관,인천광역시 미추홀구 매소홀로 418번길 14-57,032-873-0541,백암재단,사회복지법인(직영)
400,인천,창영종합사회복지관,인천광역시 동구 우각로57,032-773-1733,기독교대한감리회유지재단,재단법인(직영)
401,인천,함박종합사회복지관,인천광역시 연수구 함박안로217,032-724-9965,대한불교조계종사회복지재단,사회복지법인
402,전남,(전남)상동종합사회복지관,"(본관) 전남 목포시 상동로 63, (분관) 전남 목포시 상동로 68 *구 상리사회복지관",061-273-1142,광주구천주교회유지재단,재단법인
403,전남,구례군종합사회복지관,전남 구례군 구례읍 구례로 508,061-780-2186,구례군,지자체(직영)
404,전남,목포시종합사회복지관,전남 목포시 고하대로 712,061-272-2395,가톨릭광주사회복지회,사회복지법인
405,전남,무안군종합사회복지관,전남 무안군 일로읍 삼일로 493,061-283-1888,초당대학교 산학협력단,학교법인
406,전남,문수종합사회복지관,전남 여수시 여문2로 11-10,061-652-4242,대한불교조계종사회복지재단,사회복지법인
407,전남,미평종합사회복지관,전남 여수시 미평로 77-1,061-652-3457,보듬의료재단,의료법인
408,전남,보성종합사회복지관,전남 보성군 보성읍 동인길 18-6,061-852-9845,대한예수교장로회 순천노회유지재단,재단법인
409,전남,소라종합사회복지관,전남 여수시 소라면 덕양로 414,061-685-9775,대한예수교장로회순천노회유지재단,재단법인
410,전남,순천조례종합사회복지관,"전남 순천시 신월큰길54, 단지 내",061-722-2304,소비자교육중앙회,사단법인
411,전남,순천종합사회복지관,전남 순천시 저전길 84,061-741-3062,성신원,사회복지법인
412,전남,쌍봉종합사회복지관,전남 여수시 학동서4길 58-20,061-681-7179,밀알복지재단,사회복지법인
413,전남,장흥종합사회복지관,전남 장흥군 장흥읍 흥성로 37-24,061-864-4804,대한예수교장로회총회(합동측)복지재단,사회복지법인
414,전남,해남종합사회복지관,전남 해남군 해남읍 중앙1로 14-14,061-534-6778,두성재단,사회복지법인(직영)
415,전북,(전북)학산종합사회복지관,전북 전주시 완산구 모악로 4726,063-223-9999,우리모두사회적협동조합,협동조합
416,전북,고창군종합사회복지관,전북 고창군 고창읍 전봉준로 88-15,063-560-2100,대한불교조계종선운사복지재단,사회복지법인
417,전북,군산나운종합사회복지관,전북 군산시 문화로36,063-462-7260,한기장복지재단,사회복지법인
418,전북,군산종합사회복지관,전북 군산시 칠성로 59,063-461-6555,기독교대한성결교회사회사업유지재단,사회복지법인(직영)
419,전북,길보른종합사회복지관,전북 김제시 금성로 93(신풍동),063-545-1923,길보른재단,사회복지법인(직영)
420,전북,김제사회복지관,전북 김제시 요촌북로 110(검산주공1차@ 단지 내 관리사무소 2층),063-543-5007,대한예수교장로회총회(합동측)유지재단,재단법인
421,전북,김제제일사회복지관,전북 김제시 동서 1길 9-24,063-547-0431,김제제일복지재단,사회복지법인(직영)
422,전북,남원사회복지관,전북 남원시 노송로1255-9,063-632-5252,한기장복지재단,사회복지법인
423,전북,동산사회복지관,전북 익산시 동천로 7길 26-1,063-842-2253,삼동회,사회복지법인
424,전북,부송종합사회복지관,전북 익산시 무왕로 22길 12,063-831-0250,삼동회,사회복지법인
425,전북,부안종합사회복지관,전북 부안군 부안읍 용암로 134,063-580-7600,한기장복지재단,사회복지법인
426,전북,선너머종합사회복지관,전북 전주시 완산구 선너머로 54,063-232-0334,전주가톨릭사회복지회,사회복지법인
427,전북,원광종합사회복지관,전북 익산시 익산대로 415-7,063-856-2385,삼동회,사회복지법인(직영)
428,전북,전북종합사회복지관,전북 전주시 완산구 흑석로70,063-282-7230,초록우산어린이재단,사회복지법인
429,전북,전주종합사회복지관,전북 전주시 완산구 덕적골2길 10,063-284-2733,삼동회,사회복지법인
430,전북,정읍사회복지관,전북 정읍시 수성2로 13-18,063-533-1916,전주가톨릭사회복지회,사회복지법인
431,전북,큰나루종합사회복지관,전북 전주시 덕진구 쪽구름2길 25,063-211-4408,삼동회,사회복지법인
432,전북,평화사회복지관,전북 전주시 완산구 덕적골2길 25,063-285-4408,삼동회,사회복지법인
433,제주,(제주)서부종합사회복지관,제주특별자치도 제주시 한림읍 한림상로 207-9,064-796-9091,한림소망의집,사회복지법인
434,제주,동부종합사회복지관,제주특별자치도 서귀포시 성산읍 일출로 14-11,064-783-0364,제주가톨릭사회복지회,사회복지법인
435,제주,동제주종합사회복지관,제주특별자치도 제주시 구좌읍 평대12길 15,064-784-8281,자현,사회복지법인
436,제주,서귀포시서부종합사회복지관,제주특별자치도 서귀포시 대정읍 신영로 23,064-792-0164,한기장복지재단,사회복지법인
437,제주,서귀포종합사회복지관,제주특별자치도 서귀포시 태평로 512번길 9,064-762-0211,예담,사회복지법인
438,제주,서귀포삼다종합사회복지관,제주특별자치도 서귀포시 중동로 69-9,064-733-3549,제주특별자치도사회서비스원,재단법인
439,제주,아라종합사회복지관,제주특별자치도 제주시 인다12길 1 아라LH아파트 단지내,064-702-4605,제주특별자치도사회복지협의회,사회복지법인
440,제주,은성종합사회복지관,제주특별자치도 제주시 월두2길 63-1(아라이동),064-726-8388,제주은성의집,사회복지법인
441,제주,제주순복음종합사회복지관,제주특별자치도 제주시 천수동로 25,064-757-9119,섬김의 집,사회복지법인(직영)
442,제주,제주영락종합사회복지관,제주특별자치도 제주시 고마로9길 32,064-759-4071,대한예수장로회제주노회유지재단,재단법인
443,제주,제주종합사회복지관,"제주특별자치도 제주시 도남로121, 2층",064-753-2740,어린이재단,사회복지법인
444,충남세종,계룡시종합사회복지관,충남 계룡시 엄사면 문화1로 7,042-840-8950,수덕,사회복지법인
445,충남세종,공주기독교종합사회복지관,충남 공주시 영명학당 1길 13,041-856-0881,감리회태화복지재단,사회복지법인(직영)
446,충남세종,공주시종합사회복지관,충남 공주시 의당면 의당로 257,041-840-2215,공주시청,지자체직영
447,충남세종,금강종합사회복지관,충남 공주시 우금티로 709-14,041-856-6110,자비복지원,사회복지법인
448,충남세종,논산종합사회복지관,충남 논산시 논산대로 424,041-746-8421,논산시,지자체직영
449,충남세종,당진남부사회복지관,충남 당진시 우강면 우강창말길 24,041-362-9625,삼육재단,사회복지법인
450,충남세종,당진북부사회복지관,충남 당진시 정미면 정미로 727-36,041-354-4401,고앤두,사회복지법인
451,충남세종,명천종합사회복지관,충남 보령시 주공로 50(명천동),041-936-8501,제대한구세군유지재단법인,재단법인
452,충남세종,보령시종합사회복지관,충남 보령시 천변남길 124,041-930-3392,보령시,지자체직영
453,충남세종,서산석림사회복지관,충남 서산시 서해로 3456,041-667-2303,구세군,재단법인
454,충남세종,서산시종합사회복지관,충남 서산시 호수공원14로 6,041-660-3744,서산시,지자체직영
455,충남세종,세종종합사회복지관,세종특별자치시 조치원읍 산책1길 65,044-868-2004,세종중앙,사회복지법인(직영)
456,충남세종,송산사회복지관,충남 당진시 송산면 장갈길 15,041-353-7300,희망송산,사회복지법인
457,충남세종,송악사회복지관,충남 당진시 송악읍 송악로 656,041-353-5077,대한불교조계종사회복지재단,사회복지법인
458,충남세종,쌍용종합사회복지관,충남 천안시 서북구 쌍용11길 57 2층 쌍용종합사회복지관,041-571-4064,대한성공회유지재단,재단법인
459,충남세종,아산서부종합사회복지관,충남 아산시 도고면 도고면로 110번길 16,041-541-2020,희망나눔재단,사회복지법인(직영)
460,충남세종,아산종합사회복지관,충남 아산시 영인면 아산온천로3번길8,041-542-2308,기독교이선사회복지재단,사회복지법인(직영)
461,충남세종,온주종합사회복지관,충남 아산시 외암로 1420,041-544-7411,굿네이버스,사회복지법인
462,충남세종,음봉산동종합사회복지관,충남 아산시 음봉면 산동안길 16,041-534-7951,백석대학교산학협력단,학교법인
463,충남세종,종촌종합복지센터종합사회복지관,세종특별자치시 도움 1로 116,044-850-3000,천성,사회복지법인
464,충남세종,천안시성정종합사회복지관,충남 천안시 서북구 쌍용대로 289-25(성정동),041-578-5172,나눔운동본부,사단법인
465,충남세종,천안시종합사회복지관,충남 천안시 동남구 천안대로 361,041-903-3610,기독교대한감리회사회복지재단,사회복지법인
466,충남세종,청양군사회복지관,충남 청양군 청양읍 칠갑산로 316,041-942-0788,청양군사회복지협의회,사회복지법인
467,충남세종,탕정한마음종합사회복지관,충남 아산시 탕정면 탕정면로 40번길 12,041-543-7400,한국지역사회복리회,사회복지법인
468,충남세종,홍성사회복지관,충남 홍성군 홍성읍 조양로75번길 17,041-632-2008,충남기독교사회봉사회,사회복지법인(직영)
469,충북,(충북)북부종합사회복지관,충북 청주시 청원구 충청대로 107번길 16-1,043-216-4004,아름다운세상,사회복지법인
470,충북,(충북)서부종합사회복지관,충북 청주시 흥덕구 가로수로 1370번길 16,043-236-3600,한국YWCA연합회후원회,사단법인
471,충북,목령종합사회복지관,충북 청주시 청원구 오창읍 중심상업 2로32,043-216-3060,연꽃마을,사회복지법인
